Group,Size,Direction,x_youbot_transformed,y_youbot_transformed,theta,x_optitrack,y_optitrack,accuracy_error
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-195.576233,94.260864,54.94512700446495
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.83,-195.55275,94.244904,54.92407586452152
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.86,-195.527023,94.260796,54.93345994160703
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.84,-196.048294,94.25544,55.053263440998975
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-196.070129,94.299194,55.10102673059982
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.84,-195.9702,94.327309,55.103957512700305
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.86,-195.970718,94.243774,55.02304836010632
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.84,-195.969681,94.302567,55.079829214071175
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.87,-196.030899,94.263336,55.05667422898967
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-196.024017,94.283066,55.074130514576844
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.86,-196.033569,94.33902,55.13072533386587
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.84,-196.023102,94.314644,55.10453374804236
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-196.033203,94.301674,55.0944164982395
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.84,-195.952362,94.297913,55.071112740842736
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-196.039368,94.368629,55.160854934627906
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-196.037918,94.335953,55.12881071067044
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.86,-195.948792,94.276711,55.04967781646669
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.86,-195.547699,94.22876,54.90719605053785
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.277222,97.036835,53.169345526858876
Group4,Medium,Straight,-198.8,46.17,-1.98,-214.27681,97.054268,53.18590393771571
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.258392,97.024765,53.152318918659496
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.294479,97.05143,53.18833329148733
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.273407,97.085114,53.214426219030535
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.322632,97.122368,53.26439626068099
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.323807,97.119644,53.26213296048125
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.273788,97.056023,53.1867037127276
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.302246,97.114639,53.25106453287893
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.269943,97.040337,53.17057760563465
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.291046,97.055077,53.19082221088563
